Id,Label,Name,URL
121,API_Endpoint,,https://docs.pytorch.org/docs/stable/notes/out.html
122,API_Endpoint,,https://docs.pytorch.org/docs/stable/notes/randomness.html
123,API_Endpoint,,https://docs.pytorch.org/docs/stable/notes/serialization.html
124,API_Endpoint,,https://docs.pytorch.org/docs/stable/notes/windows.html
125,API_Endpoint,,https://docs.pytorch.org/docs/stable/community/index.html
126,API_Endpoint,,https://docs.pytorch.org/docs/stable/community/build_ci_governance.html
127,API_Endpoint,,https://docs.pytorch.org/docs/stable/community/contribution_guide.html
128,API_Endpoint,,https://docs.pytorch.org/docs/stable/community/design.html
129,API_Endpoint,,https://docs.pytorch.org/docs/stable/community/governance.html
130,API_Endpoint,,https://docs.pytorch.org/docs/stable/community/persons_of_interest.html
131,API_Endpoint,,https://docs.pytorch.org/docs/stable/genindex.html
132,API_Endpoint,,https://docs.pytorch.org/docs/stable/py-modindex.html
133,Concept,,
134,Concept,,
135,Concept,,
136,Concept,,
137,Concept,,
138,Concept,,
139,Concept,,
140,Concept,,
141,Concept,,
142,Concept,,
143,Concept,,
144,API_Endpoint,,https://docs.pytorch.org/docs/stable/torch.compiler_get_started.html
145,Concept,,
146,Concept,,
147,Concept,,
148,Concept,,
149,Concept,,
150,Concept,,
151,Concept,,
152,Concept,,
153,Concept,,
154,Concept,,
155,Concept,,
156,Concept,,
157,Concept,,
158,Concept,,
159,Concept,,
160,Concept,,
161,Concept,,
162,Concept,,
163,Concept,,
164,Concept,,
165,Concept,,
166,Concept,,
167,Concept,,
168,Concept,,
169,Concept,,
170,Concept,,
171,CodeSnippet,,
172,API_Endpoint,,https://docs.pytorch.org/docs/stable/user_guide/torch_compiler/compile/programming_model.html
173,Concept,,
174,Concept,,
175,Concept,,
176,Concept,,
177,Concept,,
178,Concept,,
179,Concept,,
180,Concept,,
181,Concept,,
182,Concept,,
183,Concept,,
184,Concept,,
185,Concept,,
186,Concept,,
187,Concept,,
188,Concept,,
189,Concept,,
190,Concept,,
191,Concept,,
192,Concept,,
193,Concept,,
194,Concept,,
195,Concept,,
196,Concept,,
197,Concept,,
198,Concept,,
199,Concept,,
200,Concept,,
201,Concept,,
202,Concept,,
203,Concept,,
204,Concept,,
205,Concept,,
206,Concept,,
207,Concept,,
208,Concept,,
209,Concept,,
210,Concept,,
211,Concept,,
212,Concept,,
213,Concept,,
214,Concept,,
215,Concept,,
216,Concept,,
217,Concept,,
218,Concept,,
219,Concept,,
220,Concept,,
221,Concept,,
222,Concept,,
223,Concept,,
224,Concept,,
225,Concept,,
226,Concept,,
227,Concept,,
228,Concept,,
229,Concept,,
230,Concept,,
231,Concept,,
232,Concept,,
233,Concept,,
234,Concept,,
235,Concept,,
236,Concept,,
237,Concept,,
238,Concept,,
239,Concept,,
240,Concept,,
241,Concept,,
242,Concept,,
243,Concept,,
244,Concept,,
245,CodeSnippet,,
246,CodeSnippet,,
247,CodeSnippet,,
248,CodeSnippet,,
249,CodeSnippet,,
250,CodeSnippet,,
251,CodeSnippet,,
252,CodeSnippet,,
253,CodeSnippet,,
254,CodeSnippet,,
255,CodeSnippet,,
256,CodeSnippet,,
257,CodeSnippet,,
258,CodeSnippet,,
259,CodeSnippet,,
260,CodeSnippet,,
261,API_Function,torch.ops.aten.conv2d.default,
262,API_Function,torch.ops.aten.batch_norm.default,
263,API_Function,torch.ops.aten.add_.Tensor,
264,CodeSnippet,,
265,CodeSnippet,,
266,API_Function,torch.ops.aten.add.Tensor,
267,API_Function,torch.ops.aten._native_batch_norm_legit_functional.default,
268,CodeSnippet,,
269,CodeSnippet,,
270,API_Function,torch.ops.aten.convolution.default,
271,CodeSnippet,,
272,CodeSnippet,,
273,API_Function,torch.ops.aten.mul.Tensor,
274,API_Endpoint,,https://docs.pytorch.org/docs/stable/user_guide/torch_compiler/export/api_reference.html
275,API_Endpoint,,https://docs.pytorch.org/docs/stable/generated/torch.nn.Module.html
276,API_Endpoint,,https://docs.pytorch.org/docs/stable/user_guide/torch_compiler/export/ir_spec.html
277,API_Endpoint,,https://docs.pytorch.org/docs/stable/generated/torch.compile.html
278,API_Endpoint,,https://docs.pytorch.org/docs/stable/generated/torch.jit.script.html
279,API_Endpoint,,https://docs.pytorch.org/docs/stable/cond.html
280,API_Endpoint,,https://docs.pytorch.org/docs/stable/generated/torch.jit.trace.html
281,API_Endpoint,,https://docs.pytorch.org/docs/stable/user_guide/torch_compiler/export/pt2_archive.html
282,API_Endpoint,,https://docs.pytorch.org/docs/stable/user_guide/torch_compiler/export/draft_export.html
